dry_gas,mail_gas,dev_gas,total_gas,dry_temp_rise,mail_temp_rise,dev_temp_rise,total_temp_rise,dry_efficiency,mail_efficiency,dev_efficiency,total_efficiency,batch_id,deviation,start_gas,date,avg_temp,avg_humidity
12800.0,37540.0,3715.0,54055.0,-125.1,91.5,29.5,-4.1000000000000085,-0.97734375,0.243740010655301,0.7940780619111709,-0.0075848672648228,export-roasts_PR-4661.xls,1240.449999999999,20,2024-08-19,17.8,74.0
12800.0,37650.0,4705.0,55155.0,-127.1,91.0,31.599999999999994,-4.499999999999986,-0.99296875,0.2416998671978752,0.671625929861849,-0.0081588251291813,export-roasts_PR-4663.xls,1073.0499999999988,20,2024-08-19,17.8,74.0
12800.0,37290.0,3125.0,53215.0,-126.2,92.3,28.099999999999994,-5.799999999999997,-0.9859374999999998,0.2475194422097077,0.8991999999999998,-0.0108991825613078,export-roasts_PR-4664.xls,1549.6500000000024,20,2024-08-19,17.8,74.0
12820.0,37560.0,3985.0,54365.0,-124.1,90.6,29.90000000000001,-3.6000000000000085,-0.96801872074883,0.2412140575079872,0.7503136762860729,-0.0066219074772372,export-roasts_PR-4706.xls,1186.2500000000005,20,2024-09-02,22.0,81.0
12800.0,37590.0,4165.0,54555.0,-125.8,90.9,30.30000000000001,-4.59999999999998,-0.9828125,0.2418196328810854,0.7274909963985596,-0.0084318577582256,export-roasts_PR-4707.xls,1224.750000000004,20,2024-09-02,22.0,81.0
12800.0,37540.0,3805.0,54145.0,-126.9,90.70000000000002,30.30000000000001,-5.899999999999963,-0.99140625,0.2416089504528503,0.7963206307490148,-0.0108966663588511,export-roasts_PR-4708.xls,1689.1500000000087,20,2024-09-02,22.0,81.0
12800.0,37660.0,4885.0,55345.0,-125.4,90.4,31.90000000000001,-3.1000000000000085,-0.9796875,0.2400424853956452,0.6530194472876153,-0.0056012286566085,export-roasts_PR-4709.xls,1133.2000000000023,20,2024-09-02,22.0,81.0
12800.0,37510.0,3535.0,53845.0,-125.3,91.2,29.69999999999999,-4.400000000000034,-0.97890625,0.2431351639562783,0.8401697312588399,-0.0081716036772217,export-roasts_PR-4710.xls,1651.199999999998,20,2024-09-02,22.0,81.0
12800.0,37690.0,5335.0,55825.0,-124.6,89.30000000000001,32.900000000000006,-2.3999999999999915,-0.9734375,0.2369328734412311,0.6166822867853796,-0.0042991491267353,export-roasts_PR-4711.xls,1321.5499999999984,20,2024-09-02,22.0,81.0
12800.0,37650.0,4795.0,55245.0,-124.8,90.0,31.0,-3.8000000000000114,-0.9750000000000002,0.2390438247011952,0.6465067778936393,-0.0068784505385102,export-roasts_PR-4713.xls,878.7000000000014,20,2024-09-02,22.0,81.0
12800.0,37550.0,3985.0,54335.0,-128.3,90.2,30.799999999999983,-7.30000000000004,-1.00234375,0.2402130492676431,0.772898368883312,-0.0134351707002853,export-roasts_PR-4714.xls,1295.4500000000005,20,2024-09-02,22.0,81.0
12800.0,37590.0,4280.0,54670.0,-124.5,91.2,31.0,-2.299999999999997,-0.97265625,0.2426177174780526,0.7242990654205608,-0.0042070605450887,export-roasts_PR-4902.xls,842.6000000000001,50,2024-10-10,11.8,82.0
12500.0,34200.0,4700.0,51400.0,-128.8,89.19999999999999,32.0,-7.600000000000023,-1.0304,0.2608187134502923,0.6808510638297872,-0.0147859922178988,export-roasts_PR-4903.xls,1173.9500000000023,50,2024-10-10,11.8,82.0
12800.0,37740.0,5695.0,56235.0,-128.10000000000002,90.6,33.099999999999994,-4.40000000000002,-1.0007812500000002,0.2400635930047695,0.5812115891132571,-0.0078243087045434,export-roasts_PR-4904.xls,1655.1999999999994,50,2024-10-10,11.8,82.0
12800.0,37540.0,3510.0,53850.0,-129.3,91.7,29.69999999999999,-7.900000000000034,-1.01015625,0.2442727757059137,0.8461538461538458,-0.0146703806870938,export-roasts_PR-4905.xls,1223.7500000000002,50,2024-10-10,11.8,82.0
12800.0,37570.0,3840.0,54210.0,-129.3,91.9,30.399999999999977,-7.000000000000028,-1.01015625,0.2446100612190578,0.7916666666666661,-0.0129127467256964,export-roasts_PR-4906.xls,1077.149999999999,50,2024-10-10,11.8,82.0
12800.0,37580.0,4255.0,54635.0,-126.9,91.2,30.299999999999983,-5.400000000000034,-0.99140625,0.2426822778073442,0.7121034077555812,-0.0098837741374577,export-roasts_PR-4907.xls,690.6499999999997,50,2024-10-10,11.8,82.0
12800.0,37540.0,3380.0,53720.0,-127.7,92.1,30.099999999999994,-5.499999999999986,-0.99765625,0.245338305807139,0.890532544378698,-0.0102382725241995,export-roasts_PR-4908.xls,1258.4500000000005,50,2024-10-10,11.8,82.0
12800.0,37510.0,3260.0,53570.0,-127.8,91.9,30.0,-5.900000000000006,-0.9984375,0.2450013329778725,0.9202453987730062,-0.0110136270300541,export-roasts_PR-4909.xls,1743.1999999999985,50,2024-10-10,11.8,82.0
12800.0,35000.0,4180.0,51980.0,-122.3,89.9,30.700000000000017,-1.6999999999999744,-0.95546875,0.2568571428571429,0.7344497607655507,-0.0032704886494805,export-roasts_PR-4910.xls,1568.6999999999998,50,2024-10-10,11.8,82.0
14190.0,35822.0,253.0,50265.0,-127.2,92.0,27.90000000000001,-7.299999999999969,-0.8964059196617336,0.2568254145497181,11.027667984189724,-0.0145230279518551,export-roasts_PR-5278.xls,4208.549999999992,50,2024-12-05,6.5,94.0
12800.0,37630.0,4705.0,55135.0,-127.9,91.3,30.30000000000001,-6.299999999999969,-0.99921875,0.2426255647090088,0.6439957492029758,-0.0114264985943592,export-roasts_PR-5381.xls,715.7499999999995,50,2024-12-16,10.2,86.0
12800.0,37530.0,3535.0,53865.0,-129.7,93.2,29.0,-7.499999999999986,-1.01328125,0.2483346656008526,0.8203677510608205,-0.0139236981342244,export-roasts_PR-5382.xls,1176.3000000000002,50,2024-12-16,10.2,86.0
12800.0,37690.0,5245.0,55735.0,-133.5,91.6,31.599999999999994,-10.299999999999995,-1.04296875,0.2430352878747678,0.6024785510009532,-0.0184803086032116,export-roasts_PR-5383.xls,1256.3999999999996,50,2024-12-16,10.2,86.0
12800.0,37520.0,3535.0,53855.0,-128.7,93.5,29.099999999999994,-6.099999999999994,-1.00546875,0.2492004264392324,0.823196605374823,-0.011326710611828,export-roasts_PR-5384.xls,1190.5000000000005,50,2024-12-16,10.2,86.0
12800.0,37570.0,4075.0,54445.0,-132.8,93.0,29.30000000000001,-10.5,-1.0375,0.2475379291988288,0.7190184049079758,-0.0192855174947194,export-roasts_PR-5385.xls,636.8500000000017,50,2024-12-16,10.2,86.0
12800.0,37820.0,6685.0,57305.0,-128.4,88.3,33.5,-6.6000000000000085,-1.003125,0.233474352194606,0.5011219147344802,-0.011517319605619,export-roasts_PR-5521.xls,2079.6,20,2025-01-20,0.0,95.0
